;Tweets;len;ID;Created;Source;Likes;RTs
189;@ManUtd Stay strong Denis ❤️ All the players are here for you.;62;1428331933709307916;2021-08-19 12:24:04;Twitter for iPhone;7232;217
190;"I am excited to be partnering with @SFesports_GG the owner of the top class #esports team- @SMPR_esports
 
Their mi… https://t.co/s9SFqlJe6y";140;1428054057386655756;2021-08-18 17:59:53;Twitter for iPhone;2177;118
191;@ManUtd RIP Maurice, great servant to @ManUtd 🙏🏼❤️;50;1427363617008197634;2021-08-16 20:16:20;Twitter for iPhone;6956;111
192;Well that was fun 🤩🔴 https://t.co/mywFwQng05;44;1426556818743087107;2021-08-14 14:50:24;Twitter for iPhone;71032;3715
193;@ManUtd @raphaelvarane Welcome mate @raphaelvarane 🤝;52;1426551015315329027;2021-08-14 14:27:20;Twitter for iPhone;33961;1780
194;"RT @ManUtd: 💬 @HarryMaguire93 speaking nothing but facts!

#MUFC";64;1426192903957843968;2021-08-13 14:44:20;Twitter for iPhone;0;856
195;The last time we had a full house at Old Trafford. Looking forward to making that walk again and welcoming our fans… https://t.co/mXtnW3BhaX;140;1426192713548972033;2021-08-13 14:43:34;Twitter for iPhone;38080;2672
196;"RT @ManUtd: Our captain knows how important it is to have you back at Old Trafford ❤️

Watch @HarryMaguire93's full interview in today's ep…";140;1425937489500463105;2021-08-12 21:49:24;Twitter for iPhone;0;542
197;"RT @ManUtd: ⏪ Our last capacity crowd #PL game was one to remember 📸

#MUFC #ThrowbackThursday https://t.co/X0Q9BO5Gjo";118;1425779459144224774;2021-08-12 11:21:27;Twitter for iPhone;0;1041
198;"RT @England: Stones 🔗 Maguire

Our two centre-backs combined as @HarryMaguire93 scored a late winner in our @FIFAWorldCup qualifier vs Pola…";140;1424793346405543938;2021-08-09 18:02:59;Twitter for iPhone;0;103
199;"RT @ManUtd: 𝗟𝗲𝗮𝗱𝗶𝗻𝗴 up to our #PL opener ©️

#MUFC @HarryMaguire93 https://t.co/7TQteibvu2";90;1424793254034386948;2021-08-09 18:02:37;Twitter for iPhone;0;919
